"@odata.type","Id","Name","Active","Type","TypeDisplayText","LevelName","ApplicationName","UpdatedDate","UpdatedBy"
"#EntityModel.LightNotification","1","Notification 1: Operating Test Result Creation","False","Subscription","Subscription Notification","Operating Test Results","Operating Test Results","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","2","Notification 2: Operating Test Results Awaiting Review","False","Subscription","Subscription Notification","Operating Test Results","Operating Test Results","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","3","Notification 3: Operating Test Results Rejection","False","Subscription","Subscription Notification","Operating Test Results","Operating Test Results","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","5","Notification 1: Remediation Plan Rejection","False","Subscription","Subscription Notification","Remediation Plans","Remediation Plans","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","6","Notification 2: Remediation Plan Awaiting Review","False","Subscription","Subscription Notification","Remediation Plans","Remediation Plans","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","19","Notification 1: CSA Creation","False","Subscription","Subscription Notification","Control Self Assessments","Control Self Assessments","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","21","Notification 2: CSA Awaiting Review","False","Subscription","Subscription Notification","Control Self Assessments","Control Self Assessments","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","22","Notification 3: CSA Rejection","False","Subscription","Subscription Notification","Control Self Assessments","Control Self Assessments","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","24","Notification 1: Design Test Creation","False","Subscription","Subscription Notification","Design Test Results","Design Test Results","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","25","Notification 2: Design Test Awaiting Review","False","Subscription","Subscription Notification","Design Test Results","Design Test Results","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","26","Notification 3: Design Test Rejection","False","Subscription","Subscription Notification","Design Test Results","Design Test Results","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","36","Notification 1: BIA Rejection","False","Subscription","Subscription Notification","Business Impact Analysis","Business Impact Analysis","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","38","Contract Reopened","False","Subscription","Subscription Notification","Contracts","Contracts","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","39","Contract Awaiting Review","False","Subscription","Subscription Notification","Contracts","Contracts","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","40","Notification 1: Expense Report Rejected","False","Subscription","Subscription Notification","Expense Reports","Expense Reports","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","41","Notification 2: Expense Report Awaiting Review","False","Subscription","Subscription Notification","Expense Reports","Expense Reports","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","42","Notification 1: Finding Rejection","False","Subscription","Subscription Notification","Findings","Findings","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","43","Notification 2: Finding Awaiting Review","False","Subscription","Subscription Notification","Findings","Findings","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","46","Notification 1: Task Create","False","Subscription","Subscription Notification","Task Management","Task Management","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","53","Notification 1: Exception Submitted by End User","False","Subscription","Subscription Notification","Exception Requests","Exception Requests","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","54","Notification 3: Exception In Management Review","False","Subscription","Subscription Notification","Exception Requests","Exception Requests","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","55","Notification 4: Approved","False","Subscription","Subscription Notification","Exception Requests","Exception Requests","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","56","Notification 5: Exception Denied","False","Subscription","Subscription Notification","Exception Requests","Exception Requests","2021-09-11T13:08:47.737Z","User, Migration"
"#EntityModel.LightNotification","59","Notification 1: Ethics Violation Assignment","False","Subscription","Subscription Notification","Ethics Violations","Ethics Violations","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","60","Notification 2: Ethics Violations Submitted for Review","False","Subscription","Subscription Notification","Ethics Violations","Ethics Violations","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","61","Notification 1: New Incident","False","Subscription","Subscription Notification","Incidents","Incidents","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","62","Notification 2: Incident Assigned","False","Subscription","Subscription Notification","Incidents","Incidents","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","63","Notification 3: Incident Closed","False","Subscription","Subscription Notification","Incidents","Incidents","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","64","Notification 1: Investigation Submitted","False","Subscription","Subscription Notification","Investigations","Investigations","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","65","Notification 2: Investigation Rejected","False","Subscription","Subscription Notification","Investigations","Investigations","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","66","Notification 3: Investigation Approved","False","Subscription","Subscription Notification","Investigations","Investigations","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","67","Notification 4: Investigation Closed","False","Subscription","Subscription Notification","Investigations","Investigations","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","93","New Threat Intelligence Report","False","Subscription","Subscription Notification","Threat Intelligence","Threat Intelligence","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","99","Notification 1: Fraud Assessment Create","False","Subscription","Subscription Notification","Fraud Assessment","Fraud Assessment","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","100","Notification 1: Failed Scan","False","Subscription","Subscription Notification","Configuration Check Results","Configuration Check Results","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","101","Notification 2: Fraud Assessment Awaiting Review","False","Subscription","Subscription Notification","Fraud Assessment","Fraud Assessment","2021-09-12T01:38:37.463Z","Administrator, System"
"#EntityModel.LightNotification","102","Notification 3: Fraud Assessment Rejection","False","Subscription","Subscription Notification","Fraud Assessment","Fraud Assessment","2021-09-12T01:38:37.463Z","Administrator, System"
