"Id","Guid","ModuleId","ModuleName","Name","Description","Alias","AllowFilter","ASOStatus","IsDeleted","UpdateInformation"
"3","4d664bbf-4f15-4f5c-a81f-888f5901ba26","65","Policies","Policy","A Policy is a broad statement of principle that presents management's position for a defined area. Policies are intended to be long-term and guide the development of more specific rules to address specific situations. Policies are interpreted and supported by standards, baselines and procedures. Policies should be relatively few in number, must be approved and supported by executive-level management, and must provide overall direction to the organization. For ease of communication to employees of the firm, a three-level policy structure has been designed. The intent of this structure is to allow employees to quickly locate policies based on a high-level name, an area of focus or a specific section. A Policy name is the highest-level item in the Policy Framework. Policy names include high-level statements of management expectations regarding a security issue (e.g., 8.0 Access Control).","Policy","True","0","False","@{CreateDate=2006-01-19T03:31:47.873; UpdateDate=2021-10-29T11:30:03.823; CreateLogin=2; UpdateLogin=2}"
"4","1fcb2f43-75b8-4478-8c00-de3c81dc6252","65","Policies","Area","An Area is the second highest level in the Policy Framework. Areas include more specific language regarding the policy, describing an area of focus of the main level policy and its intent. Areas act as a categorical stepping-stone to help users navigate to the sections they are looking for (e.g., 7.1 User Access Management).","Area","False","0","False","@{CreateDate=2006-01-19T03:32:13.623; UpdateDate=2021-10-29T11:30:03.823; CreateLogin=2; UpdateLogin=2}"
"5","39efc478-1f56-40c2-af78-e06245cda107","65","Policies","Section","A Section is the third level of policy in the Policy Framework. Sections provide an additional level of grouping (e.g., 7.1.5 Password Composition).","Section","False","0","False","@{CreateDate=2006-01-19T03:32:34.047; UpdateDate=2021-10-29T11:30:03.823; CreateLogin=2; UpdateLogin=2}"
"6","eed9bc75-e37f-442e-94ab-e0e3ea79f999","67","Authoritative Sources","Source","A Source is the top level of the Authoritative Sources Framework, and typically specifies the source name, e.g. HIPAA: Privacy, Payment Card Industry, etc.","Source","True","0","False","@{CreateDate=2006-01-19T04:31:42.047; UpdateDate=2023-03-22T16:48:55.49; CreateLogin=2; UpdateLogin=2}"
"7","ff28895a-fdd4-4a07-8e01-760448fc2eb6","67","Authoritative Sources","Topic","A Topic is the second highest level in the Authoritative Sources Framework. A topic  acts as a categorical stepping-stone to help users navigate to the section of information they are looking for (e.g., 06.0 Personnel Security).","Topic","False","0","False","@{CreateDate=2006-01-19T04:32:06.873; UpdateDate=2023-03-22T16:48:55.49; CreateLogin=2; UpdateLogin=2}"
"8","5faea532-35d4-4587-9581-30c6859fc7df","67","Authoritative Sources","Section","A Section is the third level of the Authoritative Sources Framework, and corresponds to a section within the primary source.","Section","False","0","False","@{CreateDate=2006-01-19T04:32:28.047; UpdateDate=2023-03-22T16:48:55.49; CreateLogin=2; UpdateLogin=2}"
"9","f9a67499-fe43-4249-9170-05fa7fb5b8e7","67","Authoritative Sources","Sub Section","The Sub Section is the fourth level of the Authoritative Sources framework, and corresponds to a sub section within the primary source.","Sub_Section","False","0","False","@{CreateDate=2006-01-19T04:32:49.873; UpdateDate=2023-03-22T16:48:55.49; CreateLogin=2; UpdateLogin=2}"
"13","f5291970-271c-4d24-ad4d-5ddf52691272","168","Answer Values","Answer Values","Migrated Level","Answer_Values","False","0","False","@{CreateDate=2010-09-12T00:42:24.27; UpdateDate=2010-09-12T00:42:24.27; CreateLogin=2; UpdateLogin=2}"
"14","837ee544-859f-48f5-b078-b19b72f056cb","187","Antivirus Signatures","Antivirus Signatures","Migrated Level","Antivirus_Signatures","False","0","False","@{CreateDate=2010-09-12T00:42:24.283; UpdateDate=2010-09-12T00:42:24.283; CreateLogin=2; UpdateLogin=2}"
"15","6a5e69a5-d8be-436e-bf8d-a2f98ffae5e7","324","Application Assessment","Application Assessment","Migrated Level","Application_Assessment_1","False","0","False","@{CreateDate=2010-09-12T00:42:24.287; UpdateDate=2015-09-14T19:20:17.95; CreateLogin=2; UpdateLogin=2}"
"17","33fceb92-9ee6-458f-81f6-5bd28e4af22e","70","Applications","Applications","Migrated Level","Applications","False","0","False","@{CreateDate=2010-09-12T00:42:24.313; UpdateDate=2021-10-27T12:52:03.933; CreateLogin=2; UpdateLogin=2}"
